00Z 07 Apr 2017, 0.00, 8.57
12Z 07 Apr 2017, 12.46, 11.90
00Z 08 Apr 2017, 11.26, 14.19
12Z 08 Apr 2017, 80.69, 16.50
00Z 09 Apr 2017, 1.52, 16.82
12Z 09 Apr 2017, 0.00, 13.17
00Z 10 Apr 2017, 0.00, 11.12
12Z 10 Apr 2017, 0.00, 11.40
00Z 11 Apr 2017, 0.00, 9.69
12Z 11 Apr 2017, 0.00, 17.15
00Z 12 Apr 2017, 0.00, 11.06
12Z 12 Apr 2017, 0.00, 9.42
00Z 13 Apr 2017, 0.00, 11.05
12Z 13 Apr 2017, 0.00, 15.28
00Z 14 Apr 2017, 0.00, 15.45
12Z 14 Apr 2017, 0.00, 11.50
00Z 15 Apr 2017, 0.00, 11.19
12Z 15 Apr 2017, 0.00, 19.72
00Z 16 Apr 2017, 3.62, 23.72
12Z 16 Apr 2017, 0.00, 19.69
00Z 17 Apr 2017, 0.00, 8.70
12Z 17 Apr 2017, 0.00, 11.15
00Z 18 Apr 2017, 0.00, 8.39
12Z 18 Apr 2017, 0.00, 8.39
00Z 19 Apr 2017, 4.74, 18.25
12Z 19 Apr 2017, 0.00, 10.77
00Z 20 Apr 2017, 0.00, 7.66
12Z 20 Apr 2017, 9.91, 9.84
00Z 21 Apr 2017, 0.00, 10.86
12Z 21 Apr 2017, 13.42, 8.94
00Z 22 Apr 2017, 0.00, 6.45
12Z 22 Apr 2017, 0.00, 12.03
00Z 23 Apr 2017, 0.00, 12.22
12Z 23 Apr 2017, 4.66, 9.53
00Z 24 Apr 2017, 6.14, 8.20
12Z 24 Apr 2017, 0.00, 10.36
00Z 25 Apr 2017, 0.00, 11.56
12Z 25 Apr 2017, 0.00, 13.68
00Z 26 Apr 2017, 0.00, 9.56
12Z 26 Apr 2017, 0.00, 7.93
00Z 27 Apr 2017, 0.00, 13.42
12Z 27 Apr 2017, 0.00, 19.58
00Z 28 Apr 2017, 0.00, 19.82
12Z 28 Apr 2017, 0.00, 21.89
00Z 29 Apr 2017, 0.00, 23.74
12Z 29 Apr 2017, 0.00, 21.00
00Z 30 Apr 2017, 0.00, 10.22
12Z 30 Apr 2017, 0.00, 8.27
00Z 01 May 2017, 0.00, 18.37
12Z 01 May 2017, 0.00, 20.56
00Z 02 May 2017, 0.00, 23.57
12Z 02 May 2017, 0.58, 18.56
