18 12 2017, 0.00, 7.33
19 12 2017, 28.68, 7.75
20 12 2017, 0.00, 6.12
21 12 2017, 2.30, 5.78
22 12 2017, 0.00, 9.14
23 12 2017, 0.00, 10.18
24 12 2017, 0.00, 13.53
25 12 2017, 0.00, 6.83
26 12 2017, 0.00, 9.29
27 12 2017, 0.00, 11.59
28 12 2017, 0.00, 14.82
29 12 2017, 0.55, 10.22
30 12 2017, 0.00, 5.35
31 12 2017, 0.00, 18.22
